"","aging","accession","counts"
"308","unknown","distal_1a_LUNG",6
"309","<1","distal_1b_LUNG",0
"310","1~17","distal_1b_LUNG",0
"311","15","distal_1b_LUNG",0
"312","18~40","distal_1b_LUNG",0
"313","41~54","distal_1b_LUNG",0
"314","55~","distal_1b_LUNG",0
"315","unknown","distal_1b_LUNG",2
"316","<1","distal_2_LUNG",0
"317","1~17","distal_2_LUNG",0
"318","15","distal_2_LUNG",0
"319","18~40","distal_2_LUNG",0
"320","41~54","distal_2_LUNG",0
"321","55~","distal_2_LUNG",0
"322","unknown","distal_2_LUNG",2
"323","<1","distal_3_LUNG",0
"324","1~17","distal_3_LUNG",0
"325","15","distal_3_LUNG",0
"326","18~40","distal_3_LUNG",0
"327","41~54","distal_3_LUNG",0
"328","55~","distal_3_LUNG",0
"329","unknown","distal_3_LUNG",2
"330","<1","ERR8048258",24
"331","1~17","ERR8048258",0
"332","15","ERR8048258",0
"333","18~40","ERR8048258",0
"334","41~54","ERR8048258",0
"335","55~","ERR8048258",0
"336","unknown","ERR8048258",0
"337","<1","ERR8048273",154
"338","1~17","ERR8048273",0
"339","15","ERR8048273",0
"340","18~40","ERR8048273",0
"341","41~54","ERR8048273",0
"342","55~","ERR8048273",0
"343","unknown","ERR8048273",0
"344","<1","ERR8048274",78
"345","1~17","ERR8048274",0
"346","15","ERR8048274",0
"347","18~40","ERR8048274",0
"348","41~54","ERR8048274",0
"349","55~","ERR8048274",0
"350","unknown","ERR8048274",0
"351","<1","FetalLung_1",0
"352","1~17","FetalLung_1",0
"353","15","FetalLung_1",0
"354","18~40","FetalLung_1",0
"355","41~54","FetalLung_1",0
"356","55~","FetalLung_1",0
"357","unknown","FetalLung_1",4
"358","<1","FetalLung_2",0
"359","1~17","FetalLung_2",0
"360","15","FetalLung_2",0
"361","18~40","FetalLung_2",0
"362","41~54","FetalLung_2",0
"363","55~","FetalLung_2",0
"364","unknown","FetalLung_2",4
"365","<1","Fib_Atlas",0
"366","1~17","Fib_Atlas",0
"367","15","Fib_Atlas",0
"368","18~40","Fib_Atlas",0
"369","41~54","Fib_Atlas",0
"370","55~","Fib_Atlas",0
"371","unknown","Fib_Atlas",8
"372","<1","GSM3425686",0
"373","1~17","GSM3425686",0
"374","15","GSM3425686",0
"375","18~40","GSM3425686",0
"376","41~54","GSM3425686",0
"377","55~","GSM3425686",36
"378","unknown","GSM3425686",0
"379","<1","GSM3425687",0
"380","1~17","GSM3425687",0
"381","15","GSM3425687",0
"382","18~40","GSM3425687",0
"383","41~54","GSM3425687",0
"384","55~","GSM3425687",27
"385","unknown","GSM3425687",0
"386","<1","GSM3425692",0
"387","1~17","GSM3425692",0
"388","15","GSM3425692",0
"389","18~40","GSM3425692",0
"390","41~54","GSM3425692",76
"391","55~","GSM3425692",0
"392","unknown","GSM3425692",0
"393","<1","GSM3425693",0
"394","1~17","GSM3425693",0
"395","15","GSM3425693",0
"396","18~40","GSM3425693",0
"397","41~54","GSM3425693",42
"398","55~","GSM3425693",0
"399","unknown","GSM3425693",0
"400","<1","GSM3489182",0
"401","1~17","GSM3489182",0
"402","15","GSM3489182",0
"403","18~40","GSM3489182",0
"404","41~54","GSM3489182",0
"405","55~","GSM3489182",0
"406","unknown","GSM3489182",20
"407","<1","GSM3489185",0
"408","1~17","GSM3489185",0
"409","15","GSM3489185",0
"410","18~40","GSM3489185",0
"411","41~54","GSM3489185",0
"412","55~","GSM3489185",0
"413","unknown","GSM3489185",28
"414","<1","GSM3489187",0
"415","1~17","GSM3489187",0
"416","15","GSM3489187",0
"417","18~40","GSM3489187",0
"418","41~54","GSM3489187",0
"419","55~","GSM3489187",0
"420","unknown","GSM3489187",35
"421","<1","GSM3489189",0
"422","1~17","GSM3489189",0
"423","15","GSM3489189",0
"424","18~40","GSM3489189",0
"425","41~54","GSM3489189",0
"426","55~","GSM3489189",0
"427","unknown","GSM3489189",28
"428","<1","GSM3489191",0
"429","1~17","GSM3489191",0
"430","15","GSM3489191",0
"431","18~40","GSM3489191",0
"432","41~54","GSM3489191",0
"433","55~","GSM3489191",0
"434","unknown","GSM3489191",29
"435","<1","GSM3489193",0
"436","1~17","GSM3489193",0
"437","15","GSM3489193",0
"438","18~40","GSM3489193",0
"439","41~54","GSM3489193",0
"440","55~","GSM3489193",0
"441","unknown","GSM3489193",27
"442","<1","GSM3489195",0
"443","1~17","GSM3489195",0
"444","15","GSM3489195",0
"445","18~40","GSM3489195",0
"446","41~54","GSM3489195",0
"447","55~","GSM3489195",0
"448","unknown","GSM3489195",54
"449","<1","GSM3489197",0
"450","1~17","GSM3489197",0
"451","15","GSM3489197",0
"452","18~40","GSM3489197",0
"453","41~54","GSM3489197",0
"454","55~","GSM3489197",0
"455","unknown","GSM3489197",49
"456","<1","GSM3589406",0
"457","1~17","GSM3589406",0
"458","15","GSM3589406",0
"459","18~40","GSM3589406",0
"460","41~54","GSM3589406",0
"461","55~","GSM3589406",0
"462","unknown","GSM3589406",15
"463","<1","GSM3589407",0
"464","1~17","GSM3589407",0
"465","15","GSM3589407",0
"466","18~40","GSM3589407",0
"467","41~54","GSM3589407",0
"468","55~","GSM3589407",0
"469","unknown","GSM3589407",16
"470","<1","GSM3891620",0
"471","1~17","GSM3891620",0
"472","15","GSM3891620",0
"473","18~40","GSM3891620",0
"474","41~54","GSM3891620",0
"475","55~","GSM3891620",0
"476","unknown","GSM3891620",117
"477","<1","GSM3891621",0
"478","1~17","GSM3891621",0
"479","15","GSM3891621",0
"480","18~40","GSM3891621",0
"481","41~54","GSM3891621",0
"482","55~","GSM3891621",0
"483","unknown","GSM3891621",51
"484","<1","GSM3891622",0
"485","1~17","GSM3891622",0
"486","15","GSM3891622",0
"487","18~40","GSM3891622",0
"488","41~54","GSM3891622",0
"489","55~","GSM3891622",0
"490","unknown","GSM3891622",55
"491","<1","GSM3891623",0
"492","1~17","GSM3891623",0
"493","15","GSM3891623",0
"494","18~40","GSM3891623",0
"495","41~54","GSM3891623",0
"496","55~","GSM3891623",0
"497","unknown","GSM3891623",63
"498","<1","GSM3891624",0
"499","1~17","GSM3891624",0
"500","15","GSM3891624",0
"501","18~40","GSM3891624",0
"502","41~54","GSM3891624",0
"503","55~","GSM3891624",0
"504","unknown","GSM3891624",33
"505","<1","GSM3891625",0
"506","1~17","GSM3891625",0
"507","15","GSM3891625",0
"508","18~40","GSM3891625",0
"509","41~54","GSM3891625",0
"510","55~","GSM3891625",0
"511","unknown","GSM3891625",68
"512","<1","GSM3891632",0
"513","1~17","GSM3891632",0
"514","15","GSM3891632",0
"515","18~40","GSM3891632",0
"516","41~54","GSM3891632",0
"517","55~","GSM3891632",0
"518","unknown","GSM3891632",129
"519","<1","GSM3891633",0
"520","1~17","GSM3891633",0
"521","15","GSM3891633",0
"522","18~40","GSM3891633",0
"523","41~54","GSM3891633",0
"524","55~","GSM3891633",0
"525","unknown","GSM3891633",122
"526","<1","GSM3891634",0
"527","1~17","GSM3891634",0
"528","15","GSM3891634",0
"529","18~40","GSM3891634",0
"530","41~54","GSM3891634",0
"531","55~","GSM3891634",0
"532","unknown","GSM3891634",41
"533","<1","GSM3891635",0
"534","1~17","GSM3891635",0
"535","15","GSM3891635",0
"536","18~40","GSM3891635",0
"537","41~54","GSM3891635",0
"538","55~","GSM3891635",0
"539","unknown","GSM3891635",72
"540","<1","GSM3896324",0
"541","1~17","GSM3896324",0
"542","15","GSM3896324",0
"543","18~40","GSM3896324",0
"544","41~54","GSM3896324",0
"545","55~","GSM3896324",0
"546","unknown","GSM3896324",33
"547","<1","GSM3896325",0
"548","1~17","GSM3896325",0
"549","15","GSM3896325",0
"550","18~40","GSM3896325",0
"551","41~54","GSM3896325",0
"552","55~","GSM3896325",0
"553","unknown","GSM3896325",49
"554","<1","GSM3896326",0
"555","1~17","GSM3896326",0
"556","15","GSM3896326",0
"557","18~40","GSM3896326",0
"558","41~54","GSM3896326",0
"559","55~","GSM3896326",0
"560","unknown","GSM3896326",13
"561","<1","GSM4008628",0
"562","1~17","GSM4008628",0
"563","15","GSM4008628",0
"564","18~40","GSM4008628",0
"565","41~54","GSM4008628",0
"566","55~","GSM4008628",0
"567","unknown","GSM4008628",18
"568","<1","GSM4008629",0
"569","1~17","GSM4008629",0
"570","15","GSM4008629",0
"571","18~40","GSM4008629",0
"572","41~54","GSM4008629",0
"573","55~","GSM4008629",0
"574","unknown","GSM4008629",1
"575","<1","GSM4008630",0
"576","1~17","GSM4008630",0
"577","15","GSM4008630",0
"578","18~40","GSM4008630",0
"579","41~54","GSM4008630",0
"580","55~","GSM4008630",0
"581","unknown","GSM4008630",3
"582","<1","GSM4008631",0
"583","1~17","GSM4008631",0
"584","15","GSM4008631",0
"585","18~40","GSM4008631",0
"586","41~54","GSM4008631",0
"587","55~","GSM4008631",0
"588","unknown","GSM4008631",1
"589","<1","GSM4008632",0
"590","1~17","GSM4008632",0
"591","15","GSM4008632",0
"592","18~40","GSM4008632",0
"593","41~54","GSM4008632",0
"594","55~","GSM4008632",0
"595","unknown","GSM4008632",3
"596","<1","GSM4008633",0
"597","1~17","GSM4008633",0
"598","15","GSM4008633",0
"599","18~40","GSM4008633",0
"600","41~54","GSM4008633",0
"601","55~","GSM4008633",0
"602","unknown","GSM4008633",3
"603","<1","GSM4037301",0
"604","1~17","GSM4037301",0
"605","15","GSM4037301",0
"606","18~40","GSM4037301",0
"607","41~54","GSM4037301",0
"608","55~","GSM4037301",0
"609","unknown","GSM4037301",45
"610","<1","GSM4037302",0
