"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPL18A",4.51919046045856e-09,0.623736127205536,0.893,0.774,0.000122560445287636,"COPD","RPL18A"
"RPS16",4.5272991212614e-09,0.652537851890712,0.885,0.737,0.000122780352168609,"COPD","RPS16"
"RPS27",4.86393624720662e-09,0.592282806783798,0.941,0.781,0.000131909951024244,"COPD","RPS27"
"TRAF4",5.42068459581843e-09,1.96596598113764,0.344,0.073,0.000147008966238596,"COPD","TRAF4"
"PCBP1",5.61448191993695e-09,1.60896479052678,0.439,0.146,0.00015226474966869,"COPD","PCBP1"
"SEPT7",5.71382366670557e-09,1.92621097443263,0.372,0.095,0.000154958897841055,"COPD","SEPT7"
"RPLP0",6.08315546959828e-09,0.680358127915107,0.877,0.723,0.000164975176335505,"COPD","RPLP0"
"EIF6",6.90065262502549e-09,1.53658867984173,0.379,0.095,0.000187145699190691,"COPD","EIF6"
"PRELID1",7.14418452703194e-09,2.0711319601177,0.372,0.102,0.000193750284373106,"COPD","PRELID1"
"ARPC1A",7.35622463266123e-09,2.15422701914919,0.32,0.066,0.000199500812037773,"COPD","ARPC1A"
"RPL15",7.41645060429817e-09,0.71492802402553,0.877,0.73,0.000201134140388566,"COPD","RPL15"
"S100A11",7.78007731655117e-09,0.785616580381949,0.846,0.73,0.000210995696824868,"COPD","S100A11"
"C8orf59",7.95440987539394e-09,1.96669655483414,0.364,0.088,0.000215723595820684,"COPD","C8orf59"
"BAG1",8.16736322372872e-09,1.20251191123821,0.613,0.35,0.000221498890627523,"COPD","BAG1"
"CCT5",8.24133452133395e-09,2.01654276744091,0.348,0.08,0.000223504992218577,"COPD","CCT5"
"SEPT2",9.54541908239027e-09,1.8572494896391,0.375,0.102,0.000258871765514424,"COPD","SEPT2"
"RPL10A",9.76647665111701e-09,0.675954945345427,0.858,0.745,0.000264866846778293,"COPD","RPL10A"
"TMEM179B",1.054014677648e-08,1.92305117764139,0.387,0.109,0.000285848780578138,"COPD","TMEM179B"
"PTMA",1.05961168877562e-08,0.556008401392517,0.901,0.803,0.000287366689995948,"COPD","PTMA"
"CST3",1.13294919012809e-08,0.764230722726971,0.834,0.679,0.000307255820362739,"COPD","CST3"
"RPS5",1.15305532921387e-08,0.783646227785544,0.838,0.657,0.000312708605282802,"COPD","RPS5"
"TAGLN2",1.25923261572849e-08,0.993220098908791,0.704,0.489,0.000341503885385565,"COPD","TAGLN2"
"MCL1",1.27556402503425e-08,1.75167463850686,0.439,0.175,0.000345932963589289,"COPD","MCL1"
"KRT18",1.2926468448117e-08,0.954122954268866,0.751,0.569,0.000350565824312934,"COPD","KRT18"
"HLA-B",1.38152041638284e-08,0.742305924402605,0.842,0.752,0.000374668336923026,"COPD","HLA-B"
"GPR108",1.46748747799603e-08,2.21837580429462,0.273,0.036,0.000397982604032524,"COPD","GPR108"
"ACTB",1.50175480888055e-08,0.534632841566132,0.901,0.847,0.000407275904168406,"COPD","ACTB"
"SELENOH",1.68545190916869e-08,1.84334770414405,0.34,0.08,0.000457094557766549,"COPD","SELENOH"
"SOX2",1.76704010040679e-08,2.02222752428157,0.308,0.058,0.00047922127523032,"COPD","SOX2"
"KRT19",1.79025276156093e-08,0.791445688703295,0.854,0.723,0.000485516548935325,"COPD","KRT19"
"TUBB4B",2.15585758400835e-08,1.57211307190662,0.549,0.299,0.000584668576783065,"COPD","TUBB4B"
"RPS27A",2.20106226811674e-08,0.639581823627505,0.905,0.774,0.000596928087113259,"COPD","RPS27A"
"C6orf48",2.21914295352759e-08,2.11695400810817,0.312,0.066,0.000601831568996683,"COPD","C6orf48"
"CHMP1B",2.23113255635714e-08,2.40142909924501,0.296,0.058,0.000605083149284056,"COPD","CHMP1B"
"TRAPPC1",2.23739941481358e-08,1.64190396643678,0.364,0.102,0.000606782721297443,"COPD","TRAPPC1"
"ALDH1A1",2.436102573126e-08,1.06889214230279,0.672,0.46,0.000660671017831771,"COPD","ALDH1A1"
"HLA-DMA",2.43901327089515e-08,1.66117008020474,0.387,0.117,0.000661460399066764,"COPD","HLA-DMA"
"HLA-A",2.44725887392578e-08,0.801575731480946,0.767,0.642,0.000663696606608671,"COPD","HLA-A"
"RPS7",2.81149341114175e-08,0.725415368476173,0.838,0.686,0.000762477013101644,"COPD","RPS7"
"RPL37",2.98053782739476e-08,0.573963648977545,0.897,0.774,0.000808321858789459,"COPD","RPL37"
"CLU",2.99454117717319e-08,1.00465822726689,0.704,0.489,0.00081211956724937,"COPD","CLU"
"HMGN2",2.99690807756119e-08,1.5001515213442,0.53,0.263,0.000812761470634594,"COPD","HMGN2"
"PDIA6",3.09634183671821e-08,1.34649823468651,0.474,0.182,0.000839727906117979,"COPD","PDIA6"
"RPL10",3.12023974939194e-08,0.601189237299809,0.921,0.839,0.000846209020035094,"COPD","RPL10"
"SPTSSA",3.24724983971589e-08,1.62504974844372,0.364,0.095,0.000880654156530949,"COPD","SPTSSA"
"SCPEP1",3.27270179246208e-08,1.32238057811001,0.557,0.292,0.000887556726115717,"COPD","SCPEP1"
"EIF4A1",3.31730424091783e-08,1.47210173815353,0.372,0.102,0.000899652910136916,"COPD","EIF4A1"
"PSMA7",3.31841817859946e-08,1.20373812064871,0.581,0.343,0.000899955010036175,"COPD","PSMA7"
"RPL21",3.39946064775612e-08,0.658424744552684,0.897,0.752,0.00092193372767146,"COPD","RPL21"
"NACA",3.66283556738547e-08,0.830437556792845,0.783,0.62,0.00099336100587494,"COPD","NACA"
"C1QBP",3.6768847694999e-08,1.86074227346615,0.411,0.146,0.000997171149488372,"COPD","C1QBP"
"PHB",3.9596256621239e-08,1.97847210333503,0.356,0.095,0.001073850479568,"COPD","PHB"
"HSPA5",4.1850096698435e-08,1.10852354540054,0.644,0.387,0.00113497462246156,"COPD","HSPA5"
