"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ARPC5",0.00427996453482507,0.191776242462504,0.552,0.48,1,"COPD","ARPC5"
"HIRIP3",0.00428563263723846,0.40451357590369,0.11,0.064,1,"COPD","HIRIP3"
"MRPL44",0.00436087723185437,0.045213905927185,0.111,0.064,1,"COPD","MRPL44"
"CDK12",0.00436419914501825,0.221478721298586,0.286,0.204,1,"COPD","CDK12"
"SRSF7",0.00436718596289433,0.255138726185398,0.572,0.474,1,"COPD","SRSF7"
"RNF170",0.00437930273810262,0.0473884348057902,0.147,0.092,1,"COPD","RNF170"
"NOL11",0.00438167040889899,0.202176546573052,0.158,0.101,1,"COPD","NOL11"
"HNRNPF",0.00438877079465042,0.224669290401387,0.476,0.379,1,"COPD","HNRNPF"
"GADD45A",0.00442981499248503,0.233780757495931,0.414,0.314,1,"COPD","GADD45A"
"SAP30",0.00443342987241374,0.0207855827451766,0.118,0.069,1,"COPD","SAP30"
"BIRC2",0.00443816872992467,0.0892359988541538,0.354,0.259,1,"COPD","BIRC2"
"CPNE8",0.0044686980081222,0.240327952663572,0.275,0.199,1,"COPD","CPNE8"
"VPS13A",0.00447582819301878,0.133519330057982,0.186,0.123,1,"COPD","VPS13A"
"LPIN1",0.00447875085358212,0.0477434766588466,0.199,0.132,1,"COPD","LPIN1"
"PEX2",0.00450060097860823,0.229131188568153,0.218,0.149,1,"COPD","PEX2"
"GNA13",0.00452273686042969,0.0902494708689303,0.198,0.13,1,"COPD","GNA13"
"PRRC2C",0.00454897270570895,0.176237697452822,0.65,0.549,1,"COPD","PRRC2C"
"SLC25A28",0.00454999832357822,0.229427332107513,0.126,0.077,1,"COPD","SLC25A28"
"C14orf119",0.00455075737204676,0.18145934707983,0.259,0.183,1,"COPD","C14orf119"
"ZMPSTE24",0.00455471935738664,0.08917437027287,0.249,0.172,1,"COPD","ZMPSTE24"
"BTBD7",0.0045676139289243,0.258115895426362,0.297,0.216,1,"COPD","BTBD7"
"STARD3",0.00459873218819362,0.0587249444666824,0.13,0.078,1,"COPD","STARD3"
"NDUFA1",0.00460903304651003,0.254629557761644,0.568,0.495,1,"COPD","NDUFA1"
"UBR4",0.00463327106488718,0.0892356803269934,0.272,0.19,1,"COPD","UBR4"
"ZNF639",0.00463608286875233,0.133655815828255,0.155,0.098,1,"COPD","ZNF639"
"SVBP",0.00463804836814509,0.0400908412432127,0.194,0.127,1,"COPD","SVBP"
"SFPQ",0.00465252831618837,0.196283098705399,0.572,0.462,1,"COPD","SFPQ"
"CBR1",0.00467624475040784,0.224286538646965,0.337,0.252,1,"COPD","CBR1"
"SLTM",0.00468620975957868,0.226928451252225,0.382,0.294,1,"COPD","SLTM"
"AP3M1",0.00469377233479042,0.0279576756661442,0.142,0.087,1,"COPD","AP3M1"
"ZNF330",0.0047000381552081,0.130402431891425,0.194,0.13,1,"COPD","ZNF330"
"RPL9",0.00475021829384088,0.150815394885441,0.926,0.899,1,"COPD","RPL9"
"MRPS6",0.00475069290746582,0.19860429327766,0.341,0.259,1,"COPD","MRPS6"
"STOM",0.00475165850863842,0.267849494687604,0.479,0.38,1,"COPD","STOM"
"SLC10A3",0.0047654431695167,0.0446124939832063,0.186,0.121,1,"COPD","SLC10A3"
"ERGIC2",0.00479654305322281,0.201127002168003,0.34,0.25,1,"COPD","ERGIC2"
"EXOC3",0.00481166646284965,0.0175813036783905,0.146,0.09,1,"COPD","EXOC3"
"HSPA5",0.00482897154200972,0.224286396999419,0.609,0.508,1,"COPD","HSPA5"
"SLC4A7",0.00484517535962631,0.0814576711621152,0.325,0.236,1,"COPD","SLC4A7"
"C1orf50",0.00487685593194626,0.333306706005322,0.103,0.06,1,"COPD","C1orf50"
"SLC35B3",0.00489566858095508,0.0751894358708741,0.2,0.133,1,"COPD","SLC35B3"
"MEF2C",0.00490419645754843,0.248433589303969,0.158,0.103,1,"COPD","MEF2C"
"PEF1",0.00490958535019415,0.0604633546185351,0.22,0.149,1,"COPD","PEF1"
"PRKCSH",0.00491311174458165,0.207048631344949,0.347,0.255,1,"COPD","PRKCSH"
"TINF2",0.00491357087346721,0.179194953159532,0.179,0.118,1,"COPD","TINF2"
"PDHX",0.00492299502135538,0.186067737003035,0.159,0.101,1,"COPD","PDHX"
"DNAJA2",0.00493149931394898,0.16770072043927,0.297,0.215,1,"COPD","DNAJA2"
"AK3",0.0049345666510938,0.18872406376275,0.366,0.278,1,"COPD","AK3"
"SDHC",0.00493792061027744,0.217069303553668,0.362,0.271,1,"COPD","SDHC"
"GPAA1",0.00494085910267332,0.137087786077359,0.359,0.27,1,"COPD","GPAA1"
"DPH7",0.00494308695499849,0.248879780999046,0.114,0.067,1,"COPD","DPH7"
"PITRM1",0.00494979377429562,0.195885058336975,0.16,0.104,1,"COPD","PITRM1"
"ATP5PF",0.00496536824342163,0.230627572040419,0.576,0.531,1,"COPD","ATP5PF"
"PDCD10",0.00497404041888307,0.10542631304963,0.269,0.189,1,"COPD","PDCD10"
"PSME2",0.00500801683094982,0.247957822088258,0.391,0.294,1,"COPD","PSME2"
"RHBDD3",0.00504038175648507,0.258737943059282,0.106,0.061,1,"COPD","RHBDD3"
"ITPA",0.00505986834114453,0.0724270812319395,0.245,0.17,1,"COPD","ITPA"
"HS2ST1",0.00507635941681694,0.270226478682163,0.241,0.172,1,"COPD","HS2ST1"
"CCDC92",0.00508611237906425,0.0155511545547118,0.219,0.147,1,"COPD","CCDC92"
"SF3A3",0.00509334461043825,0.0546953059268631,0.265,0.184,1,"COPD","SF3A3"
"RIOK1",0.00511097152877408,0.353349801417984,0.167,0.11,1,"COPD","RIOK1"
"CCT2",0.00512857129251821,0.121867684521533,0.375,0.278,1,"COPD","CCT2"
"WDFY1",0.00515472756959773,0.143579964493374,0.263,0.186,1,"COPD","WDFY1"
"RAB34",0.00515528131785898,0.300577954071348,0.466,0.371,1,"COPD","RAB34"
"SMNDC1",0.00516457451258832,0.00668745714896479,0.171,0.11,1,"COPD","SMNDC1"
"MEAF6",0.00518444597175597,0.121938642302319,0.35,0.256,1,"COPD","MEAF6"
"RNF135",0.00521048305830432,0.0966328824726377,0.122,0.074,1,"COPD","RNF135"
"RTCB",0.00522537349587863,7.60001038886404e-05,0.247,0.17,1,"COPD","RTCB"
"FZD7",0.00523294391022426,0.0537117355241126,0.206,0.14,1,"COPD","FZD7"
"RPS17",0.00525237086422589,0.166313326300263,0.711,0.701,1,"COPD","RPS17"
"WIPI2",0.0052573995850118,0.13721262889186,0.304,0.218,1,"COPD","WIPI2"
"TMEM200A",0.00528783684012257,0.376534358055065,0.131,0.081,1,"COPD","TMEM200A"
"WASHC3",0.00529717651098143,0.101702831196858,0.293,0.21,1,"COPD","WASHC3"
"UBE2N",0.00530875709803938,0.142518016963032,0.411,0.316,1,"COPD","UBE2N"
"PAPSS1",0.00531619397866792,0.157190969060246,0.194,0.132,1,"COPD","PAPSS1"
"PSMD3",0.0053236868912982,0.119488921566896,0.282,0.202,1,"COPD","PSMD3"
"SLC38A2",0.00532933873559755,0.19586441910058,0.691,0.575,1,"COPD","SLC38A2"
"IFI27",0.00535323069643096,0.21810712115393,0.235,0.167,1,"COPD","IFI27"
"BLMH",0.00538347738844738,0.444651990962315,0.137,0.086,1,"COPD","BLMH"
"CDC42EP2",0.00540218241644826,0.0604217889060269,0.178,0.115,1,"COPD","CDC42EP2"
"CWC15",0.00540578408468085,0.234385956521321,0.322,0.248,1,"COPD","CWC15"
"SLC25A33",0.00543822440311548,0.278413828786565,0.239,0.17,1,"COPD","SLC25A33"
"GPR180",0.00544336075604326,0.150726455832642,0.121,0.072,1,"COPD","GPR180"
"RPF2",0.00545545222214681,0.132234181833749,0.292,0.212,1,"COPD","RPF2"
"MRPL22",0.00547528550907294,0.115812797113505,0.248,0.173,1,"COPD","MRPL22"
"RPS5",0.00551404373137027,0.15557034188575,0.867,0.813,1,"COPD","RPS5"
"TNPO1",0.00554352570235736,0.107809667302239,0.39,0.296,1,"COPD","TNPO1"
"ACSL3",0.00558877718801131,0.245042629193874,0.414,0.327,1,"COPD","ACSL3"
"ARHGEF2",0.00559114716179591,0.15228026716962,0.171,0.113,1,"COPD","ARHGEF2"
"PIM1",0.00559602119970402,0.508809278036588,0.233,0.176,1,"COPD","PIM1"
"COMMD5",0.00561063578367736,0.121045132083362,0.191,0.127,1,"COPD","COMMD5"
"GOLGA5",0.00562251202698827,0.347054185526511,0.156,0.103,1,"COPD","GOLGA5"
"ISCA2",0.00565910460678343,0.120893405678507,0.127,0.078,1,"COPD","ISCA2"
"ACO1",0.00567343959846829,0.185631000989522,0.239,0.169,1,"COPD","ACO1"
"LSM8",0.00567676888642979,0.17866369144011,0.34,0.252,1,"COPD","LSM8"
"NUDC",0.00567749049418639,0.179926344879597,0.452,0.353,1,"COPD","NUDC"
"CROT",0.00569913103223303,0.274099489596284,0.122,0.075,1,"COPD","CROT"
"UBE2D2",0.00569932585134235,0.212789753718471,0.497,0.425,1,"COPD","UBE2D2"
"DRG2",0.00570101902768652,0.183155204345221,0.117,0.071,1,"COPD","DRG2"
"MRPL41",0.00570187309286405,0.291919145819837,0.387,0.33,1,"COPD","MRPL41"
"ERI3",0.00574773491689076,0.104311917974244,0.273,0.195,1,"COPD","ERI3"
"RPS19BP1",0.00579713412917874,0.268906967928098,0.349,0.287,1,"COPD","RPS19BP1"
"WFDC1",0.00579728752861516,0.581799244217318,0.137,0.089,1,"COPD","WFDC1"
"ISOC1",0.00580552246452387,0.16001684712776,0.15,0.097,1,"COPD","ISOC1"
"LCMT1",0.00581498588291473,0.213262686384657,0.204,0.138,1,"COPD","LCMT1"
"MT-ND4",0.00582153238255751,0.45733648629219,0.371,0.342,1,"COPD","MT-ND4"
"ZC3H13",0.00584330789527,0.215629601969554,0.346,0.255,1,"COPD","ZC3H13"
"IL10RB",0.00588283807789593,0.0414090212318201,0.16,0.103,1,"COPD","IL10RB"
"BAG5",0.00590920577156884,0.144507004741792,0.18,0.12,1,"COPD","BAG5"
"SERP1",0.00594985629389296,0.175749854812037,0.558,0.503,1,"COPD","SERP1"
"CUEDC2",0.00595132713453877,0.18752761968649,0.312,0.23,1,"COPD","CUEDC2"
"FTSJ1",0.00596105377484625,0.0849681772265236,0.142,0.089,1,"COPD","FTSJ1"
"IRF3",0.00596730470021382,0.198709007475601,0.19,0.126,1,"COPD","IRF3"
"TAF4B",0.00596857526939561,0.797893370013583,0.135,0.09,1,"COPD","TAF4B"
"SLC41A2",0.0059725151492647,0.199079402641434,0.168,0.112,1,"COPD","SLC41A2"
"TUBE1",0.00599032966354522,0.191641123339024,0.115,0.069,1,"COPD","TUBE1"
"RWDD4",0.00599993750384032,0.141026765271653,0.241,0.17,1,"COPD","RWDD4"
"SLC16A1",0.00601416658952284,0.354443257518835,0.244,0.179,1,"COPD","SLC16A1"
