"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CEP170",0.000281877558444737,0.220446870653262,0.523,0.488,1,"Normal","CEP170"
"CREBBP",0.000283607219010789,0.203100365858383,0.506,0.467,1,"Normal","CREBBP"
"SEPTIN9-DT",0.000286114135855174,0.25355456672114,0.208,0.167,1,"Normal","SEPTIN9-DT"
"BCL2",0.000286819299318146,0.307011778501405,0.208,0.168,1,"Normal","BCL2"
"SRPK2",0.000288618481557466,0.259763702869472,0.429,0.395,1,"Normal","SRPK2"
"MTCO1P12",0.000291364752994539,0.133382565469097,0.978,0.882,1,"Normal","MTCO1P12"
"METTL16",0.000301747416961008,0.342315361393314,0.199,0.161,1,"Normal","METTL16"
"ACVR2A",0.000305510559723423,0.536395636300489,0.129,0.097,1,"Normal","ACVR2A"
"MYO5A",0.000307119332476879,0.326132532240255,0.398,0.367,1,"Normal","MYO5A"
"DNMT3A",0.000313390110146873,0.465777096693929,0.217,0.183,1,"Normal","DNMT3A"
"MYO1D",0.000315831253614704,0.457523550061211,0.105,0.076,1,"Normal","MYO1D"
"HOOK3",0.000318918134813499,0.215566518101904,0.495,0.466,1,"Normal","HOOK3"
"NUTM2A-AS1",0.00032982500118895,0.259113316664114,0.401,0.363,1,"Normal","NUTM2A-AS1"
"VPS13B",0.000337399072603164,0.205480108283593,0.533,0.497,1,"Normal","VPS13B"
"P2RX1",0.00033816793186728,0.402697313740534,0.124,0.093,1,"Normal","P2RX1"
"NABP1",0.000342647047397151,0.300540428306374,0.284,0.248,1,"Normal","NABP1"
"OASL",0.00034453884291066,0.387808172736126,0.348,0.317,1,"Normal","OASL"
"PACS1",0.000347439192380735,0.331860212853424,0.314,0.278,1,"Normal","PACS1"
"MARCHF1",0.000350169188198505,0.271159215231591,0.352,0.306,1,"Normal","MARCHF1"
"OLR1",0.00035224161259024,0.0984503547569986,0.843,0.807,1,"Normal","OLR1"
"KAT6A",0.00035700020381741,0.223716755002763,0.392,0.349,1,"Normal","KAT6A"
"NCEH1",0.000362105744598475,0.226243264329463,0.601,0.588,1,"Normal","NCEH1"
"KIF13A",0.000362242700061245,0.21289235525725,0.436,0.396,1,"Normal","KIF13A"
"RLF",0.000363449364383181,0.198483266007518,0.409,0.363,1,"Normal","RLF"
"SENP2",0.000365812212714938,0.41079094670036,0.212,0.176,1,"Normal","SENP2"
