"","experiment","accession","counts"
"380","GSE135893","356C_72h",0
"381","GSE136831","356C_72h",0
"382","GSE137026","356C_72h",0
"383","GSE139534","356C_72h",0
"384","GSE139555","356C_72h",0
"385","GSE139819","356C_72h",0
"386","GSE150247","356C_72h",0
"387","GSE157376","356C_72h",0
"388","GSE158942","356C_72h",0
"389","GSE160664","356C_72h",0
"390","GSE161382","356C_72h",0
"391","GSE167295","356C_72h",0
"392","GSE168191","356C_72h",0
"393","GSE169471","356C_72h",0
"394","GSE171524","356C_72h",0
"395","GSE173896","356C_72h",0
"396","GSE181388","356C_72h",0
"397","GSE196303","356C_72h",0
"398","GSE196341","356C_72h",0
"399","GSE227136","356C_72h",0
"400","HCL","356C_72h",0
"401","HTAN_MSK","356C_72h",0
"402","munich_cohort_human","356C_72h",0
"403","P115_Syn21041850_Lung_scRNASEQ","356C_72h",0
"404","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","356C_72h",0
"405","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","356C_72h",0
"406","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","356C_72h",0
"407","P90_COVID19CELLATLAS_Lung_scRNASEQ","356C_72h",0
"408","P91_COVID19CELLATLAS_Lung_scRNASEQ","356C_72h",0
"409","Travaglini_Krasnow_2020","356C_72h",0
"410","Vieira_Teichmann_2019","356C_72h",0
"411","E-MTAB-11278","367C_0h",0
"412","EGAS00001004481","367C_0h",0
"413","ERP114453","367C_0h",26
"414","Fib_Atlas","367C_0h",0
"415","GSE121080","367C_0h",0
"416","GSE122960","367C_0h",0
"417","GSE126030","367C_0h",0
"418","GSE132771","367C_0h",0
"419","GSE132914","367C_0h",0
"420","GSE134355","367C_0h",0
"421","GSE135893","367C_0h",0
"422","GSE136831","367C_0h",0
"423","GSE137026","367C_0h",0
"424","GSE139534","367C_0h",0
"425","GSE139555","367C_0h",0
"426","GSE139819","367C_0h",0
"427","GSE150247","367C_0h",0
"428","GSE157376","367C_0h",0
"429","GSE158942","367C_0h",0
"430","GSE160664","367C_0h",0
"431","GSE161382","367C_0h",0
"432","GSE167295","367C_0h",0
"433","GSE168191","367C_0h",0
"434","GSE169471","367C_0h",0
"435","GSE171524","367C_0h",0
"436","GSE173896","367C_0h",0
"437","GSE181388","367C_0h",0
"438","GSE196303","367C_0h",0
"439","GSE196341","367C_0h",0
"440","GSE227136","367C_0h",0
"441","HCL","367C_0h",0
"442","HTAN_MSK","367C_0h",0
"443","munich_cohort_human","367C_0h",0
"444","P115_Syn21041850_Lung_scRNASEQ","367C_0h",0
"445","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","367C_0h",0
"446","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","367C_0h",0
"447","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","367C_0h",0
"448","P90_COVID19CELLATLAS_Lung_scRNASEQ","367C_0h",0
"449","P91_COVID19CELLATLAS_Lung_scRNASEQ","367C_0h",0
"450","Travaglini_Krasnow_2020","367C_0h",0
"451","Vieira_Teichmann_2019","367C_0h",0
"452","E-MTAB-11278","367C_12h",0
"453","EGAS00001004481","367C_12h",0
"454","ERP114453","367C_12h",31
"455","Fib_Atlas","367C_12h",0
"456","GSE121080","367C_12h",0
"457","GSE122960","367C_12h",0
"458","GSE126030","367C_12h",0
"459","GSE132771","367C_12h",0
"460","GSE132914","367C_12h",0
"461","GSE134355","367C_12h",0
"462","GSE135893","367C_12h",0
"463","GSE136831","367C_12h",0
"464","GSE137026","367C_12h",0
