"","celltype","accession","counts"
"474","Plasma+B","CTTV027_RNAseq6949176_LUNG",0
"475","Secretory","CTTV027_RNAseq6949176_LUNG",4
"476","Stromal","CTTV027_RNAseq6949176_LUNG",0
"477","Airway Epithelial","CTTV027_RNAseq6949177_LUNG",0
"478","AT1","CTTV027_RNAseq6949177_LUNG",0
"479","AT2","CTTV027_RNAseq6949177_LUNG",0
"480","Basal","CTTV027_RNAseq6949177_LUNG",4
"481","Ciliated","CTTV027_RNAseq6949177_LUNG",13
"482","DC","CTTV027_RNAseq6949177_LUNG",0
"483","Endothelial","CTTV027_RNAseq6949177_LUNG",0
"484","Fibroblast","CTTV027_RNAseq6949177_LUNG",0
"485","Macrophages","CTTV027_RNAseq6949177_LUNG",0
"486","Monocytes","CTTV027_RNAseq6949177_LUNG",0
"487","NK+T","CTTV027_RNAseq6949177_LUNG",0
"488","Plasma+B","CTTV027_RNAseq6949177_LUNG",0
"489","Secretory","CTTV027_RNAseq6949177_LUNG",5
"490","Stromal","CTTV027_RNAseq6949177_LUNG",0
"491","Airway Epithelial","CTTV027_RNAseq7118945_LUNG",0
"492","AT1","CTTV027_RNAseq7118945_LUNG",0
"493","AT2","CTTV027_RNAseq7118945_LUNG",0
"494","Basal","CTTV027_RNAseq7118945_LUNG",1
"495","Ciliated","CTTV027_RNAseq7118945_LUNG",1
"496","DC","CTTV027_RNAseq7118945_LUNG",0
"497","Endothelial","CTTV027_RNAseq7118945_LUNG",0
"498","Fibroblast","CTTV027_RNAseq7118945_LUNG",0
"499","Macrophages","CTTV027_RNAseq7118945_LUNG",0
"500","Monocytes","CTTV027_RNAseq7118945_LUNG",0
"501","NK+T","CTTV027_RNAseq7118945_LUNG",0
"502","Plasma+B","CTTV027_RNAseq7118945_LUNG",0
"503","Secretory","CTTV027_RNAseq7118945_LUNG",1
"504","Stromal","CTTV027_RNAseq7118945_LUNG",0
"505","Airway Epithelial","CTTV027_RNAseq7118946_LUNG",1
"506","AT1","CTTV027_RNAseq7118946_LUNG",0
"507","AT2","CTTV027_RNAseq7118946_LUNG",0
"508","Basal","CTTV027_RNAseq7118946_LUNG",3
"509","Ciliated","CTTV027_RNAseq7118946_LUNG",2
"510","DC","CTTV027_RNAseq7118946_LUNG",0
"511","Endothelial","CTTV027_RNAseq7118946_LUNG",0
"512","Fibroblast","CTTV027_RNAseq7118946_LUNG",0
"513","Macrophages","CTTV027_RNAseq7118946_LUNG",0
"514","Monocytes","CTTV027_RNAseq7118946_LUNG",0
"515","NK+T","CTTV027_RNAseq7118946_LUNG",0
"516","Plasma+B","CTTV027_RNAseq7118946_LUNG",0
"517","Secretory","CTTV027_RNAseq7118946_LUNG",4
"518","Stromal","CTTV027_RNAseq7118946_LUNG",0
"519","Airway Epithelial","CTTV027_RNAseq7333557_LUNG",1
"520","AT1","CTTV027_RNAseq7333557_LUNG",0
"521","AT2","CTTV027_RNAseq7333557_LUNG",0
"522","Basal","CTTV027_RNAseq7333557_LUNG",7
"523","Ciliated","CTTV027_RNAseq7333557_LUNG",5
"524","DC","CTTV027_RNAseq7333557_LUNG",1
"525","Endothelial","CTTV027_RNAseq7333557_LUNG",0
"526","Fibroblast","CTTV027_RNAseq7333557_LUNG",0
"527","Macrophages","CTTV027_RNAseq7333557_LUNG",0
"528","Monocytes","CTTV027_RNAseq7333557_LUNG",0
"529","NK+T","CTTV027_RNAseq7333557_LUNG",0
"530","Plasma+B","CTTV027_RNAseq7333557_LUNG",0
"531","Secretory","CTTV027_RNAseq7333557_LUNG",8
"532","Stromal","CTTV027_RNAseq7333557_LUNG",0
"533","Airway Epithelial","D088_LUNG",0
"534","AT1","D088_LUNG",7
"535","AT2","D088_LUNG",2
"536","Basal","D088_LUNG",0
"537","Ciliated","D088_LUNG",0
"538","DC","D088_LUNG",2
"539","Endothelial","D088_LUNG",3
"540","Fibroblast","D088_LUNG",8
"541","Macrophages","D088_LUNG",0
"542","Monocytes","D088_LUNG",1
"543","NK+T","D088_LUNG",1
"544","Plasma+B","D088_LUNG",6
"545","Secretory","D088_LUNG",0
"546","Stromal","D088_LUNG",2
"547","Airway Epithelial","D122_LUNG",0
"548","AT1","D122_LUNG",7
"549","AT2","D122_LUNG",3
"550","Basal","D122_LUNG",0
"551","Ciliated","D122_LUNG",0
"552","DC","D122_LUNG",0
"553","Endothelial","D122_LUNG",4
"554","Fibroblast","D122_LUNG",0
"555","Macrophages","D122_LUNG",1
"556","Monocytes","D122_LUNG",0
"557","NK+T","D122_LUNG",0
"558","Plasma+B","D122_LUNG",1
"559","Secretory","D122_LUNG",1
"560","Stromal","D122_LUNG",0
"561","Airway Epithelial","D150_LUNG",10
"562","AT1","D150_LUNG",9
"563","AT2","D150_LUNG",2
"564","Basal","D150_LUNG",0
"565","Ciliated","D150_LUNG",0
"566","DC","D150_LUNG",2
"567","Endothelial","D150_LUNG",0
"568","Fibroblast","D150_LUNG",9
"569","Macrophages","D150_LUNG",1
"570","Monocytes","D150_LUNG",0
"571","NK+T","D150_LUNG",0
"572","Plasma+B","D150_LUNG",2
"573","Secretory","D150_LUNG",7
"574","Stromal","D150_LUNG",3
"575","Airway Epithelial","D175_LUNG",0
"576","AT1","D175_LUNG",3
"577","AT2","D175_LUNG",0
"578","Basal","D175_LUNG",0
"579","Ciliated","D175_LUNG",0
"580","DC","D175_LUNG",1
"581","Endothelial","D175_LUNG",1
"582","Fibroblast","D175_LUNG",1
"583","Macrophages","D175_LUNG",0
"584","Monocytes","D175_LUNG",1
"585","NK+T","D175_LUNG",3
"586","Plasma+B","D175_LUNG",2
"587","Secretory","D175_LUNG",0
"588","Stromal","D175_LUNG",1
"589","Airway Epithelial","D231_LUNG",0
"590","AT1","D231_LUNG",4
"591","AT2","D231_LUNG",3
"592","Basal","D231_LUNG",0
"593","Ciliated","D231_LUNG",1
"594","DC","D231_LUNG",0
"595","Endothelial","D231_LUNG",2
"596","Fibroblast","D231_LUNG",0
"597","Macrophages","D231_LUNG",2
"598","Monocytes","D231_LUNG",0
"599","NK+T","D231_LUNG",1
"600","Plasma+B","D231_LUNG",0
"601","Secretory","D231_LUNG",1
"602","Stromal","D231_LUNG",0
"603","Airway Epithelial","distal_1a_LUNG",0
"604","AT1","distal_1a_LUNG",1
"605","AT2","distal_1a_LUNG",1
"606","Basal","distal_1a_LUNG",0
"607","Ciliated","distal_1a_LUNG",0
"608","DC","distal_1a_LUNG",0
"609","Endothelial","distal_1a_LUNG",3
"610","Fibroblast","distal_1a_LUNG",0
"611","Macrophages","distal_1a_LUNG",0
"612","Monocytes","distal_1a_LUNG",0
"613","NK+T","distal_1a_LUNG",1
"614","Plasma+B","distal_1a_LUNG",0
"615","Secretory","distal_1a_LUNG",0
"616","Stromal","distal_1a_LUNG",0
"617","Airway Epithelial","distal_1b_LUNG",0
"618","AT1","distal_1b_LUNG",0
"619","AT2","distal_1b_LUNG",0
"620","Basal","distal_1b_LUNG",0
"621","Ciliated","distal_1b_LUNG",0
"622","DC","distal_1b_LUNG",0
"623","Endothelial","distal_1b_LUNG",2
"624","Fibroblast","distal_1b_LUNG",0
"625","Macrophages","distal_1b_LUNG",0
"626","Monocytes","distal_1b_LUNG",0
"627","NK+T","distal_1b_LUNG",0
"628","Plasma+B","distal_1b_LUNG",0
"629","Secretory","distal_1b_LUNG",0
"630","Stromal","distal_1b_LUNG",0
"631","Airway Epithelial","distal_2_LUNG",0
"632","AT1","distal_2_LUNG",0
"633","AT2","distal_2_LUNG",0
"634","Basal","distal_2_LUNG",0
"635","Ciliated","distal_2_LUNG",0
"636","DC","distal_2_LUNG",0
"637","Endothelial","distal_2_LUNG",2
"638","Fibroblast","distal_2_LUNG",0
"639","Macrophages","distal_2_LUNG",0
"640","Monocytes","distal_2_LUNG",0
"641","NK+T","distal_2_LUNG",0
"642","Plasma+B","distal_2_LUNG",0
"643","Secretory","distal_2_LUNG",0
"644","Stromal","distal_2_LUNG",0
"645","Airway Epithelial","distal_3_LUNG",0
"646","AT1","distal_3_LUNG",1
"647","AT2","distal_3_LUNG",0
"648","Basal","distal_3_LUNG",0
"649","Ciliated","distal_3_LUNG",0
"650","DC","distal_3_LUNG",0
"651","Endothelial","distal_3_LUNG",0
"652","Fibroblast","distal_3_LUNG",0
"653","Macrophages","distal_3_LUNG",0
"654","Monocytes","distal_3_LUNG",0
"655","NK+T","distal_3_LUNG",1
"656","Plasma+B","distal_3_LUNG",0
"657","Secretory","distal_3_LUNG",0
"658","Stromal","distal_3_LUNG",0
"659","Airway Epithelial","ERR8048258",1
"660","AT1","ERR8048258",0
"661","AT2","ERR8048258",0
"662","Basal","ERR8048258",0
"663","Ciliated","ERR8048258",0
"664","DC","ERR8048258",1
"665","Endothelial","ERR8048258",4
"666","Fibroblast","ERR8048258",14
"667","Macrophages","ERR8048258",1
"668","Monocytes","ERR8048258",0
"669","NK+T","ERR8048258",0
"670","Plasma+B","ERR8048258",0
"671","Secretory","ERR8048258",2
"672","Stromal","ERR8048258",1
"673","Airway Epithelial","ERR8048273",27
"674","AT1","ERR8048273",0
"675","AT2","ERR8048273",0
"676","Basal","ERR8048273",1
"677","Ciliated","ERR8048273",0
"678","DC","ERR8048273",0
"679","Endothelial","ERR8048273",17
"680","Fibroblast","ERR8048273",2
"681","Macrophages","ERR8048273",69
"682","Monocytes","ERR8048273",0
"683","NK+T","ERR8048273",0
"684","Plasma+B","ERR8048273",0
"685","Secretory","ERR8048273",15
