"","param","celltype","counts"
"241","GSM7103275","Airway Epithelial",1
"242","GSM7103276","Airway Epithelial",0
"243","GSM7103277","Airway Epithelial",0
"244","GSM7103278","Airway Epithelial",0
"245","GSM7103279","Airway Epithelial",1
"246","GSM7103280","Airway Epithelial",0
"247","GSM7103281","Airway Epithelial",0
"248","GSM7103282","Airway Epithelial",0
"249","GSM7103283","Airway Epithelial",0
"250","GSM7103295","Airway Epithelial",0
"251","GSM7103296","Airway Epithelial",1
"252","GSM7103297","Airway Epithelial",0
"253","GSM7103298","Airway Epithelial",0
"254","GSM7103305","Airway Epithelial",0
"255","GSM7103306","Airway Epithelial",0
"256","GSM7103307","Airway Epithelial",0
"257","GSM7103308","Airway Epithelial",0
"258","GSM7103313","Airway Epithelial",0
"259","GSM7103314","Airway Epithelial",2
"260","GSM7103315","Airway Epithelial",4
"261","GSM7103316","Airway Epithelial",3
"262","GSM7103317","Airway Epithelial",0
"263","GSM7103318","Airway Epithelial",4
"264","GSM7103319","Airway Epithelial",3
"265","GSM7103320","Airway Epithelial",0
"266","GSM7103327","Airway Epithelial",0
"267","GSM7103334","Airway Epithelial",0
"268","JVV9L8ng_LUNG","Airway Epithelial",0
"269","KJYDM1ng_LUNG","Airway Epithelial",5
"270","LungTranscriptome7119452_LUNG","Airway Epithelial",0
"271","LungTranscriptome7119453_LUNG","Airway Epithelial",0
"272","LungTranscriptome7135919_LUNG","Airway Epithelial",0
"273","LungTranscriptome7135920_LUNG","Airway Epithelial",0
"274","LungTranscriptome7185212_LUNG","Airway Epithelial",0
"275","LungTranscriptome7185213_LUNG","Airway Epithelial",0
"276","LungTranscriptome7239213_LUNG","Airway Epithelial",0
"277","LungTranscriptome7239217_LUNG","Airway Epithelial",0
"278","LungTranscriptome7239218_LUNG","Airway Epithelial",0
"279","LungTranscriptome7239219_LUNG","Airway Epithelial",0
"280","LungTranscriptome7239220_LUNG","Airway Epithelial",0
"281","medial_2_LUNG","Airway Epithelial",0
"282","medial_3_LUNG","Airway Epithelial",0
"283","muc10380","Airway Epithelial",0
"284","muc3843","Airway Epithelial",0
"285","muc4658","Airway Epithelial",0
"286","muc4659","Airway Epithelial",0
"287","muc5103","Airway Epithelial",0
"288","muc5105","Airway Epithelial",0
"289","muc5212","Airway Epithelial",0
"290","muc5213","Airway Epithelial",0
"291","muc9832","Airway Epithelial",0
"292","muc9833","Airway Epithelial",0
"293","ODGS1Mng_LUNG","Airway Epithelial",2
"294","P1_2_LUNG","Airway Epithelial",0
"295","P1_3_LUNG","Airway Epithelial",0
"296","P1_4_LUNG","Airway Epithelial",0
"297","P2_1_LUNG","Airway Epithelial",0
"298","P2_2_LUNG","Airway Epithelial",0
"299","P2_3_LUNG","Airway Epithelial",0
"300","P2_4_LUNG","Airway Epithelial",0
"301","P2_5_LUNG","Airway Epithelial",0
"302","P2_6_LUNG","Airway Epithelial",0
"303","P2_7_LUNG","Airway Epithelial",0
"304","P2_8_LUNG","Airway Epithelial",0
"305","P3_2_LUNG","Airway Epithelial",0
"306","P3_3_LUNG","Airway Epithelial",0
"307","P3_4_LUNG","Airway Epithelial",0
"308","P3_5_LUNG","Airway Epithelial",0
"309","P3_6_LUNG","Airway Epithelial",0
"310","P3_7_LUNG","Airway Epithelial",0
"311","p46c_LUNG","Airway Epithelial",0
"312","p47c_LUNG","Airway Epithelial",0
"313","p50c_LUNG","Airway Epithelial",0
"314","p51c_LUNG","Airway Epithelial",0
"315","proximal_3_LUNG","Airway Epithelial",0
"316","QZY9VQng_LUNG","Airway Epithelial",1
"317","RU675_N","Airway Epithelial",0
"318","RU682_N","Airway Epithelial",0
"319","RU684_N","Airway Epithelial",0
"320","RU685_N","Airway Epithelial",0
"321","S4ECX8ng_LUNG","Airway Epithelial",4
"322","sample10","Airway Epithelial",2
"323","sample11","Airway Epithelial",1
"324","sample4","Airway Epithelial",0
"325","sample8","Airway Epithelial",2
"326","sample9","Airway Epithelial",2
"327","SHMI57ng_LUNG","Airway Epithelial",8
"328","Travaglini_Krasnow_2020_distal 1a","Airway Epithelial",0
"329","Travaglini_Krasnow_2020_distal 1b","Airway Epithelial",1
"330","Travaglini_Krasnow_2020_distal 2","Airway Epithelial",0
"331","Travaglini_Krasnow_2020_distal 3","Airway Epithelial",0
"332","Travaglini_Krasnow_2020_medial 2","Airway Epithelial",0
"333","Travaglini_Krasnow_2020_medial 3","Airway Epithelial",0
"334","Travaglini_Krasnow_2020_proximal 3","Airway Epithelial",0
