"","groups","accession","counts"
"498","Normal","GSM7103283",10
"499","COPD","GSM7103295",0
"500","Normal","GSM7103295",5
"501","COPD","GSM7103296",0
"502","Normal","GSM7103296",13
"503","COPD","GSM7103297",0
"504","Normal","GSM7103297",15
"505","COPD","GSM7103298",0
"506","Normal","GSM7103298",2
"507","COPD","GSM7103305",0
"508","Normal","GSM7103305",31
"509","COPD","GSM7103306",0
"510","Normal","GSM7103306",19
"511","COPD","GSM7103307",0
"512","Normal","GSM7103307",22
"513","COPD","GSM7103308",0
"514","Normal","GSM7103308",10
"515","COPD","GSM7103313",0
"516","Normal","GSM7103313",47
"517","COPD","GSM7103314",0
"518","Normal","GSM7103314",214
"519","COPD","GSM7103315",0
"520","Normal","GSM7103315",92
"521","COPD","GSM7103316",0
"522","Normal","GSM7103316",138
"523","COPD","GSM7103317",0
"524","Normal","GSM7103317",76
"525","COPD","GSM7103318",0
"526","Normal","GSM7103318",172
"527","COPD","GSM7103319",0
"528","Normal","GSM7103319",215
"529","COPD","GSM7103320",0
"530","Normal","GSM7103320",48
"531","COPD","GSM7103327",0
"532","Normal","GSM7103327",1
"533","COPD","GSM7103334",0
"534","Normal","GSM7103334",27
"535","COPD","JVV9L8ng_LUNG",0
"536","Normal","JVV9L8ng_LUNG",19
"537","COPD","KJYDM1ng_LUNG",0
"538","Normal","KJYDM1ng_LUNG",11
"539","COPD","LungTranscriptome7119452_LUNG",0
"540","Normal","LungTranscriptome7119452_LUNG",2
"541","COPD","LungTranscriptome7119453_LUNG",0
"542","Normal","LungTranscriptome7119453_LUNG",4
"543","COPD","LungTranscriptome7135919_LUNG",0
"544","Normal","LungTranscriptome7135919_LUNG",13
"545","COPD","LungTranscriptome7135920_LUNG",0
"546","Normal","LungTranscriptome7135920_LUNG",5
"547","COPD","LungTranscriptome7185212_LUNG",0
"548","Normal","LungTranscriptome7185212_LUNG",14
"549","COPD","LungTranscriptome7185213_LUNG",0
"550","Normal","LungTranscriptome7185213_LUNG",3
"551","COPD","LungTranscriptome7239213_LUNG",0
"552","Normal","LungTranscriptome7239213_LUNG",4
"553","COPD","LungTranscriptome7239217_LUNG",0
"554","Normal","LungTranscriptome7239217_LUNG",11
"555","COPD","LungTranscriptome7239218_LUNG",0
"556","Normal","LungTranscriptome7239218_LUNG",9
"557","COPD","LungTranscriptome7239219_LUNG",0
"558","Normal","LungTranscriptome7239219_LUNG",4
"559","COPD","LungTranscriptome7239220_LUNG",0
"560","Normal","LungTranscriptome7239220_LUNG",9
"561","COPD","medial_2_LUNG",0
"562","Normal","medial_2_LUNG",1
"563","COPD","medial_3_LUNG",0
"564","Normal","medial_3_LUNG",1
"565","COPD","muc10380",0
"566","Normal","muc10380",29
"567","COPD","muc3843",0
"568","Normal","muc3843",8
"569","COPD","muc4658",0
"570","Normal","muc4658",15
"571","COPD","muc4659",0
"572","Normal","muc4659",1
"573","COPD","muc5103",0
"574","Normal","muc5103",16
"575","COPD","muc5105",0
"576","Normal","muc5105",10
"577","COPD","muc5212",0
"578","Normal","muc5212",8
"579","COPD","muc5213",0
"580","Normal","muc5213",13
"581","COPD","muc9832",0
"582","Normal","muc9832",7
"583","COPD","muc9833",0
"584","Normal","muc9833",18
"585","COPD","ODGS1Mng_LUNG",0
"586","Normal","ODGS1Mng_LUNG",21
"587","COPD","P1_2_LUNG",0
"588","Normal","P1_2_LUNG",12
"589","COPD","P1_3_LUNG",0
"590","Normal","P1_3_LUNG",19
"591","COPD","P1_4_LUNG",0
"592","Normal","P1_4_LUNG",14
"593","COPD","P2_1_LUNG",0
"594","Normal","P2_1_LUNG",35
"595","COPD","P2_2_LUNG",0
"596","Normal","P2_2_LUNG",21
"597","COPD","P2_3_LUNG",0
"598","Normal","P2_3_LUNG",21
"599","COPD","P2_4_LUNG",0
"600","Normal","P2_4_LUNG",10
"601","COPD","P2_5_LUNG",0
"602","Normal","P2_5_LUNG",35
"603","COPD","P2_6_LUNG",0
"604","Normal","P2_6_LUNG",11
"605","COPD","P2_7_LUNG",0
"606","Normal","P2_7_LUNG",22
"607","COPD","P2_8_LUNG",0
"608","Normal","P2_8_LUNG",23
"609","COPD","P3_2_LUNG",0
"610","Normal","P3_2_LUNG",16
"611","COPD","P3_3_LUNG",0
"612","Normal","P3_3_LUNG",27
"613","COPD","P3_4_LUNG",0
"614","Normal","P3_4_LUNG",10
"615","COPD","P3_5_LUNG",0
"616","Normal","P3_5_LUNG",21
"617","COPD","P3_6_LUNG",0
"618","Normal","P3_6_LUNG",37
"619","COPD","P3_7_LUNG",0
"620","Normal","P3_7_LUNG",49
"621","COPD","p46c_LUNG",0
"622","Normal","p46c_LUNG",45
"623","COPD","p47c_LUNG",0
"624","Normal","p47c_LUNG",22
"625","COPD","p50c_LUNG",0
"626","Normal","p50c_LUNG",74
"627","COPD","p51c_LUNG",0
"628","Normal","p51c_LUNG",43
"629","COPD","proximal_3_LUNG",0
"630","Normal","proximal_3_LUNG",1
"631","COPD","QZY9VQng_LUNG",0
"632","Normal","QZY9VQng_LUNG",23
"633","COPD","RU675_N",0
"634","Normal","RU675_N",18
"635","COPD","RU682_N",0
"636","Normal","RU682_N",19
"637","COPD","RU684_N",0
"638","Normal","RU684_N",19
"639","COPD","RU685_N",0
"640","Normal","RU685_N",27
"641","COPD","S4ECX8ng_LUNG",0
"642","Normal","S4ECX8ng_LUNG",28
"643","COPD","sample10",0
"644","Normal","sample10",4
"645","COPD","sample11",0
"646","Normal","sample11",1
"647","COPD","sample4",0
"648","Normal","sample4",5
"649","COPD","sample8",0
"650","Normal","sample8",3
"651","COPD","sample9",0
"652","Normal","sample9",4
"653","COPD","SHMI57ng_LUNG",0
"654","Normal","SHMI57ng_LUNG",24
"655","COPD","Travaglini_Krasnow_2020_distal 1a",0
"656","Normal","Travaglini_Krasnow_2020_distal 1a",15
"657","COPD","Travaglini_Krasnow_2020_distal 1b",0
"658","Normal","Travaglini_Krasnow_2020_distal 1b",26
"659","COPD","Travaglini_Krasnow_2020_distal 2",0
"660","Normal","Travaglini_Krasnow_2020_distal 2",14
"661","COPD","Travaglini_Krasnow_2020_distal 3",0
"662","Normal","Travaglini_Krasnow_2020_distal 3",10
"663","COPD","Travaglini_Krasnow_2020_medial 2",0
"664","Normal","Travaglini_Krasnow_2020_medial 2",5
"665","COPD","Travaglini_Krasnow_2020_medial 3",0
"666","Normal","Travaglini_Krasnow_2020_medial 3",4
"667","COPD","Travaglini_Krasnow_2020_proximal 3",0
"668","Normal","Travaglini_Krasnow_2020_proximal 3",3
"669","COPD","Vieira_Teichmann_2019_Dropseq_1",0
"670","Normal","Vieira_Teichmann_2019_Dropseq_1",9
"671","COPD","Vieira_Teichmann_2019_Dropseq_2",0
"672","Normal","Vieira_Teichmann_2019_Dropseq_2",13
"673","COPD","ZM3KACng_LUNG",0
"674","Normal","ZM3KACng_LUNG",19
