"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ABTB1",0.00999272480499456,0.610630005152672,0.225,0.088,1,"COPD","ABTB1"
"ACAT2",0.0100094701526487,0.538849265410794,0.258,0.108,1,"COPD","ACAT2"
"GALNT12",0.0100228450637618,1.03380784502561,0.213,0.078,1,"COPD","GALNT12"
"DHCR7",0.0100246619469905,0.327766031621792,0.236,0.088,1,"COPD","DHCR7"
"HNRNPA0",0.0100248560656804,0.677570096008293,0.685,0.431,1,"COPD","HNRNPA0"
"NUDT1",0.0100251641398191,0.650939542011601,0.169,0.049,1,"COPD","NUDT1"
"UNG",0.0100483667379135,0.769168592512272,0.202,0.069,1,"COPD","UNG"
"PTGR2",0.0100483667379135,0.650606156849938,0.202,0.069,1,"COPD","PTGR2"
"JMJD4",0.0100689766103232,1.15673150803041,0.112,0.02,1,"COPD","JMJD4"
"CDK2AP1",0.0100689766103232,0.698665673556758,0.112,0.02,1,"COPD","CDK2AP1"
"PGK1",0.010083397389643,0.561704181278886,0.697,0.451,1,"COPD","PGK1"
"SAP30BP",0.0101148139506858,0.519704477241671,0.494,0.265,1,"COPD","SAP30BP"
"PRRG2",0.0101496090163936,0.603219879346506,0.292,0.127,1,"COPD","PRRG2"
"LXN",0.0101691901436856,0.628410505889754,0.169,0.049,1,"COPD","LXN"
"SMIM13",0.0101791427224527,0.622315649227529,0.202,0.069,1,"COPD","SMIM13"
"FHL1",0.0102134167390836,1.12730751887303,0.146,0.039,1,"COPD","FHL1"
"TWSG1",0.010218193151767,1.00925449450611,0.371,0.196,1,"COPD","TWSG1"
"TMEM123",0.0102187390211892,0.519076168579809,0.708,0.51,1,"COPD","TMEM123"
"SERPING1",0.010231220519988,0.616876789592285,0.404,0.216,1,"COPD","SERPING1"
"G2E3",0.0102395843195364,0.470605517116993,0.258,0.108,1,"COPD","G2E3"
"RBM11",0.0102519675107266,0.667318307980168,0.112,0.02,1,"COPD","RBM11"
"PPFIA3",0.0102519675107266,0.300669428482984,0.112,0.02,1,"COPD","PPFIA3"
"RAB40B",0.0102598099631759,0.928500072268668,0.303,0.137,1,"COPD","RAB40B"
"ACSF2",0.0102623406453272,0.906320928680072,0.27,0.118,1,"COPD","ACSF2"
"GSTZ1",0.0102623406453272,0.846902274784581,0.27,0.118,1,"COPD","GSTZ1"
"AIMP2",0.010267402410381,0.296369352284533,0.236,0.088,1,"COPD","AIMP2"
"SLC44A4",0.0102791984272811,0.322632209837589,0.371,0.176,1,"COPD","SLC44A4"
"PAQR7",0.0103384257746391,0.411742726113219,0.348,0.167,1,"COPD","PAQR7"
"SF3A2",0.0103807167843444,0.345673471297008,0.326,0.147,1,"COPD","SF3A2"
"RAB11B",0.0103831592802572,0.634017147496034,0.528,0.333,1,"COPD","RAB11B"
"YTHDC1",0.0103967447645441,0.446506166561591,0.618,0.402,1,"COPD","YTHDC1"
"GHITM",0.010418238687502,0.518482879290433,0.562,0.353,1,"COPD","GHITM"
"ITPRIPL1",0.010437912778139,0.614102297960872,0.112,0.02,1,"COPD","ITPRIPL1"
"ZNF527",0.010437912778139,0.429186208697152,0.112,0.02,1,"COPD","ZNF527"
"SRF",0.0104743958209842,0.38396250189207,0.258,0.108,1,"COPD","SRF"
