"","gender","accession","counts"
"444","unknown","GSM4143263",123
"445","F","GSM4143656",0
"446","M","GSM4143656",0
"447","unknown","GSM4143656",11
"448","F","GSM4143658",0
"449","M","GSM4143658",0
"450","unknown","GSM4143658",13
"451","F","GSM4143660",0
"452","M","GSM4143660",0
"453","unknown","GSM4143660",57
"454","F","GSM4143662",0
"455","M","GSM4143662",0
"456","unknown","GSM4143662",2
"457","F","GSM4143664",0
"458","M","GSM4143664",0
"459","unknown","GSM4143664",46
"460","F","GSM4143666",0
"461","M","GSM4143666",0
"462","unknown","GSM4143666",55
"463","F","GSM4321402",25
"464","M","GSM4321402",0
"465","unknown","GSM4321402",0
"466","F","GSM4321403",15
"467","M","GSM4321403",0
"468","unknown","GSM4321403",0
"469","F","GSM4321404",0
"470","M","GSM4321404",26
"471","unknown","GSM4321404",0
"472","F","GSM4321405",0
"473","M","GSM4321405",8
"474","unknown","GSM4321405",0
"475","F","GSM4544005",0
"476","M","GSM4544005",0
"477","unknown","GSM4544005",40
"478","F","GSM4544006",0
"479","M","GSM4544006",0
"480","unknown","GSM4544006",43
"481","F","GSM4544007",0
"482","M","GSM4544007",0
"483","unknown","GSM4544007",57
"484","F","GSM4763859",0
"485","M","GSM4763859",0
"486","unknown","GSM4763859",14
"487","F","GSM4763860",0
"488","M","GSM4763860",0
"489","unknown","GSM4763860",9
"490","F","GSM4763861",0
"491","M","GSM4763861",0
"492","unknown","GSM4763861",4
"493","F","GSM4763862",0
"494","M","GSM4763862",0
"495","unknown","GSM4763862",1
"496","F","GSM4763863",0
"497","M","GSM4763863",0
"498","unknown","GSM4763863",4
"499","F","GSM4816089",0
"500","M","GSM4816089",0
"501","unknown","GSM4816089",141
"502","F","GSM4876617",0
"503","M","GSM4876617",15
"504","unknown","GSM4876617",0
"505","F","GSM4876620",13
"506","M","GSM4876620",0
"507","unknown","GSM4876620",0
"508","F","GSM5100998",0
"509","M","GSM5100998",0
"510","unknown","GSM5100998",152
"511","F","GSM5100999",0
"512","M","GSM5100999",0
"513","unknown","GSM5100999",82
"514","F","GSM5101000",0
"515","M","GSM5101000",0
"516","unknown","GSM5101000",78
"517","F","GSM5133588",339
"518","M","GSM5133588",0
"519","unknown","GSM5133588",0
"520","F","GSM5133589",328
"521","M","GSM5133589",0
"522","unknown","GSM5133589",0
"523","F","GSM5133590",178
"524","M","GSM5133590",0
"525","unknown","GSM5133590",0
"526","F","GSM5133591",153
"527","M","GSM5133591",0
"528","unknown","GSM5133591",0
"529","F","GSM5133592",0
"530","M","GSM5133592",153
"531","unknown","GSM5133592",0
"532","F","GSM5133593",0
"533","M","GSM5133593",95
"534","unknown","GSM5133593",0
"535","F","GSM5133594",0
"536","M","GSM5133594",221
"537","unknown","GSM5133594",0
"538","F","GSM5133595",0
"539","M","GSM5133595",105
"540","unknown","GSM5133595",0
"541","F","GSM5133596",0
"542","M","GSM5133596",68
"543","unknown","GSM5133596",0
"544","F","GSM5133597",67
"545","M","GSM5133597",0
"546","unknown","GSM5133597",0
"547","F","GSM5133598",63
"548","M","GSM5133598",0
"549","unknown","GSM5133598",0
"550","F","GSM5133599",105
"551","M","GSM5133599",0
"552","unknown","GSM5133599",0
"553","F","GSM5133600",93
"554","M","GSM5133600",0
"555","unknown","GSM5133600",0
"556","F","GSM5133601",71
"557","M","GSM5133601",0
"558","unknown","GSM5133601",0
"559","F","GSM5133602",83
"560","M","GSM5133602",0
"561","unknown","GSM5133602",0
"562","F","GSM5133603",0
"563","M","GSM5133603",71
"564","unknown","GSM5133603",0
"565","F","GSM5133604",123
"566","M","GSM5133604",0
"567","unknown","GSM5133604",0
"568","F","GSM5133605",0
"569","M","GSM5133605",87
"570","unknown","GSM5133605",0
"571","F","GSM5133606",0
"572","M","GSM5133606",117
"573","unknown","GSM5133606",0
"574","F","GSM5206782",0
"575","M","GSM5206782",8
"576","unknown","GSM5206782",0
"577","F","GSM5206783",0
"578","M","GSM5206783",7
"579","unknown","GSM5206783",0
"580","F","GSM5206784",0
"581","M","GSM5206784",11
"582","unknown","GSM5206784",0
"583","F","GSM5226574",59
"584","M","GSM5226574",0
"585","unknown","GSM5226574",0
"586","F","GSM5226575",40
"587","M","GSM5226575",0
"588","unknown","GSM5226575",0
"589","F","GSM5226576",0
"590","M","GSM5226576",84
"591","unknown","GSM5226576",0
"592","F","GSM5226577",31
"593","M","GSM5226577",0
"594","unknown","GSM5226577",0
"595","F","GSM5226578",0
"596","M","GSM5226578",39
"597","unknown","GSM5226578",0
"598","F","GSM5226579",0
"599","M","GSM5226579",17
"600","unknown","GSM5226579",0
"601","F","GSM5226580",0
"602","M","GSM5226580",36
"603","unknown","GSM5226580",0
"604","F","GSM5282537",0
"605","M","GSM5282537",424
"606","unknown","GSM5282537",0
"607","F","GSM5282538",79
"608","M","GSM5282538",0
"609","unknown","GSM5282538",0
"610","F","GSM5282539",0
"611","M","GSM5282539",104
"612","unknown","GSM5282539",0
"613","F","GSM5282540",0
"614","M","GSM5282540",85
"615","unknown","GSM5282540",0
"616","F","GSM5282541",0
"617","M","GSM5282541",134
"618","unknown","GSM5282541",0
"619","F","GSM5282542",0
"620","M","GSM5282542",42
"621","unknown","GSM5282542",0
"622","F","GSM5282543",0
"623","M","GSM5282543",7
"624","unknown","GSM5282543",0
"625","F","GSM5282544",0
"626","M","GSM5282544",125
"627","unknown","GSM5282544",0
"628","F","GSM5282545",0
"629","M","GSM5282545",202
"630","unknown","GSM5282545",0
"631","F","GSM5282546",0
"632","M","GSM5282546",49
"633","unknown","GSM5282546",0
"634","F","GSM5282547",67
"635","M","GSM5282547",0
"636","unknown","GSM5282547",0
"637","F","GSM5282548",0
"638","M","GSM5282548",69
"639","unknown","GSM5282548",0
"640","F","GSM5501481",0
"641","M","GSM5501481",0
"642","unknown","GSM5501481",119
"643","F","GSM5501482",0
"644","M","GSM5501482",0
"645","unknown","GSM5501482",22
"646","F","GSM5870246",0
"647","M","GSM5870246",0
"648","unknown","GSM5870246",81
"649","F","GSM5870247",0
"650","M","GSM5870247",0
"651","unknown","GSM5870247",11
"652","F","GSM5870248",0
"653","M","GSM5870248",0
"654","unknown","GSM5870248",104
"655","F","GSM5870249",0
"656","M","GSM5870249",0
"657","unknown","GSM5870249",21
"658","F","GSM5870251",0
"659","M","GSM5870251",0
"660","unknown","GSM5870251",38
"661","F","GSM5870252",0
"662","M","GSM5870252",0
"663","unknown","GSM5870252",18
"664","F","GSM5870253",0
"665","M","GSM5870253",0
"666","unknown","GSM5870253",48
"667","F","GSM5870254",0
"668","M","GSM5870254",0
"669","unknown","GSM5870254",24
"670","F","GSM5870255",0
"671","M","GSM5870255",0
"672","unknown","GSM5870255",45
"673","F","GSM5870257",0
"674","M","GSM5870257",0
"675","unknown","GSM5870257",25
"676","F","GSM5873135",0
"677","M","GSM5873135",0
"678","unknown","GSM5873135",272
"679","F","GSM5873136",0
"680","M","GSM5873136",0
"681","unknown","GSM5873136",145
"682","F","GSM5873137",0
"683","M","GSM5873137",0
"684","unknown","GSM5873137",418
"685","F","GSM5873138",0
"686","M","GSM5873138",0
"687","unknown","GSM5873138",60
"688","F","GSM5873139",0
"689","M","GSM5873139",0
"690","unknown","GSM5873139",119
"691","F","GSM5873140",0
"692","M","GSM5873140",0
"693","unknown","GSM5873140",497
"694","F","GSM5873141",0
"695","M","GSM5873141",0
"696","unknown","GSM5873141",234
"697","F","GSM5873142",0
"698","M","GSM5873142",0
"699","unknown","GSM5873142",2460
"700","F","GSM5873143",0
"701","M","GSM5873143",0
"702","unknown","GSM5873143",280
"703","F","GSM5873144",0
"704","M","GSM5873144",0
"705","unknown","GSM5873144",42
"706","F","GSM5873145",0
"707","M","GSM5873145",0
"708","unknown","GSM5873145",256
"709","F","GSM5873146",0
"710","M","GSM5873146",0
"711","unknown","GSM5873146",224
"712","F","GSM7103257",0
"713","M","GSM7103257",7
"714","unknown","GSM7103257",0
"715","F","GSM7103264",0
"716","M","GSM7103264",19
"717","unknown","GSM7103264",0
"718","F","GSM7103271",0
"719","M","GSM7103271",7
"720","unknown","GSM7103271",0
"721","F","GSM7103275",0
"722","M","GSM7103275",31
"723","unknown","GSM7103275",0
"724","F","GSM7103276",0
"725","M","GSM7103276",67
"726","unknown","GSM7103276",0
"727","F","GSM7103277",60
"728","M","GSM7103277",0
"729","unknown","GSM7103277",0
"730","F","GSM7103278",0
"731","M","GSM7103278",43
"732","unknown","GSM7103278",0
"733","F","GSM7103279",0
"734","M","GSM7103279",80
"735","unknown","GSM7103279",0
"736","F","GSM7103280",0
"737","M","GSM7103280",72
"738","unknown","GSM7103280",0
"739","F","GSM7103281",0
"740","M","GSM7103281",10
"741","unknown","GSM7103281",0
"742","F","GSM7103282",0
"743","M","GSM7103282",144
"744","unknown","GSM7103282",0
"745","F","GSM7103283",0
"746","M","GSM7103283",10
"747","unknown","GSM7103283",0
"748","F","GSM7103295",0
"749","M","GSM7103295",5
"750","unknown","GSM7103295",0
"751","F","GSM7103296",0
"752","M","GSM7103296",13
"753","unknown","GSM7103296",0
"754","F","GSM7103297",0
"755","M","GSM7103297",15
"756","unknown","GSM7103297",0
"757","F","GSM7103298",0
"758","M","GSM7103298",2
"759","unknown","GSM7103298",0
"760","F","GSM7103305",31
"761","M","GSM7103305",0
"762","unknown","GSM7103305",0
"763","F","GSM7103306",0
"764","M","GSM7103306",19
