"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","celltype"
"1162","CCDC40",2.80579054145624e-07,0.418876067070111,0.681,0.633,0.0256926239881148,"Normal","CCDC40","Ciliated"
"1163","FRY",2.87320245815986e-07,0.658424299589537,0.41,0.303,0.0263099149093699,"Normal","FRY","Ciliated"
"1164","ZNF559-ZNF177",2.94382497329143e-07,1.01946049264965,0.1,0.033,0.0269566052804297,"Normal","ZNF559-ZNF177","Ciliated"
"1165","FNBP1",2.98447130370416e-07,0.658896744635234,0.491,0.398,0.027328803728019,"Normal","FNBP1","Ciliated"
"1166","USP25",3.0213189113734e-07,0.626636444845791,0.479,0.374,0.0276662172714462,"Normal","USP25","Ciliated"
"1167","ZC3H11A",3.05862955466654e-07,0.707594756135829,0.403,0.292,0.0280078708320815,"Normal","ZC3H11A","Ciliated"
"1168","CDRT4",3.10309661195206e-07,0.72303811054256,0.312,0.196,0.028415055675645,"Normal","CDRT4","Ciliated"
"1169","CBWD2",3.14630676726674e-07,0.831892776006261,0.352,0.241,0.0288107310678616,"Normal","CBWD2","Ciliated"
"1170","HS3ST4",3.15407073779173e-07,0.626896021431881,0.341,0.219,0.0288818257459589,"Normal","HS3ST4","Ciliated"
"1171","LOC105377623",3.18156081302093e-07,1.05177689645995,0.138,0.059,0.0291335523648326,"Normal","LOC105377623","Ciliated"
"1172","SH2B3",3.19121822403662e-07,0.801454843059018,0.287,0.178,0.0292219852775033,"Normal","SH2B3","Ciliated"
"1173","EHBP1",3.22550661234234e-07,0.930006564768165,0.307,0.206,0.0295359640492188,"Normal","EHBP1","Ciliated"
"1174","LIPH",3.28877399018144e-07,0.56087362227177,0.563,0.478,0.0301153034280915,"Normal","LIPH","Ciliated"
"1175","HIRA",3.50321994511165e-07,0.678214434448412,0.406,0.294,0.0320789850373874,"Normal","HIRA","Ciliated"
"1176","RNF4",3.51325000060483e-07,0.674082596644875,0.429,0.325,0.0321708302555385,"Normal","RNF4","Ciliated"
"1177","RANBP17",3.53728717140928e-07,0.870499979937644,0.244,0.142,0.0323909386285948,"Normal","RANBP17","Ciliated"
"1178","FGFBP2",3.58145961768829e-07,0.684767491555006,0.314,0.201,0.0327954257191717,"Normal","FGFBP2","Ciliated"
"1179","TJP2",3.60269670301767e-07,0.526599924621607,0.507,0.394,0.0329898937095328,"Normal","TJP2","Ciliated"
"1181","TXNDC8",3.65843533354442e-07,1.16212075822905,0.152,0.07,0.0335002923492662,"Normal","TXNDC8","Ciliated"
"1182","PKD1P3",3.68554423635922e-07,0.882227560472711,0.269,0.163,0.0337485285723414,"Normal","PKD1P3","Ciliated"
"1183","TASOR2",3.75790989946365e-07,0.937397540874522,0.266,0.161,0.0344111809493887,"Normal","TASOR2","Ciliated"
"1184","SIK1B",3.80092537709416e-07,0.94837664262157,0.219,0.122,0.0348050736780512,"Normal","SIK1B","Ciliated"
"1185","BLOC1S5-TXNDC5",3.88153282938493e-07,1.00208106929589,0.162,0.077,0.0355431961186778,"Normal","BLOC1S5-TXNDC5","Ciliated"
"1186","MEIS1",3.94937537802366e-07,0.948457306662941,0.26,0.161,0.0361644303365627,"Normal","MEIS1","Ciliated"
"1187","ARFGEF2",3.9646962174822e-07,0.760323557982826,0.395,0.292,0.0363047232634845,"Normal","ARFGEF2","Ciliated"
"1188","ITGA9",4.11282675536545e-07,0.951799186064278,0.138,0.059,0.0376611545988814,"Normal","ITGA9","Ciliated"
"1189","NXF2",4.1594249118897e-07,1.11793109439051,0.124,0.05,0.038087853918174,"Normal","NXF2","Ciliated"
"1190","TULP2",4.22611604872536e-07,0.975186622625791,0.144,0.064,0.0386985446581781,"Normal","TULP2","Ciliated"
"1191","GNG7",4.40037028487267e-07,0.715091729433432,0.347,0.236,0.040294190698579,"Normal","GNG7","Ciliated"
"1192","ZMYM2",4.45962042686318e-07,0.597284281942277,0.52,0.435,0.0408367442487861,"Normal","ZMYM2","Ciliated"
"1193","RNF19A",4.46960585109883e-07,0.511919833896375,0.572,0.496,0.040928180778512,"Normal","RNF19A","Ciliated"
"1194","PPM1E",4.47041310942838e-07,0.704883519451181,0.406,0.298,0.0409355728430357,"Normal","PPM1E","Ciliated"
"1195","MUC12-AS1",4.49636178782042e-07,0.767492301521588,0.201,0.105,0.0411731848910716,"Normal","MUC12-AS1","Ciliated"
"1196","KCTD1",4.59464055234265e-07,0.482988183546964,0.548,0.452,0.0420731235378017,"Normal","KCTD1","Ciliated"
"1197","L3MBTL4",4.65348810386909e-07,0.727629569799343,0.339,0.229,0.0426119905671293,"Normal","L3MBTL4","Ciliated"
"1198","IQGAP1",4.67238846801365e-07,0.450989741218912,0.642,0.589,0.042785061201601,"Normal","IQGAP1","Ciliated"
"1199","MIR3936HG",4.75304664489192e-07,0.93213352205494,0.144,0.064,0.0435236481272753,"Normal","MIR3936HG","Ciliated"
"1200","ANKRD23",4.76966799816165e-07,0.879703678561261,0.293,0.19,0.0436758498591662,"Normal","ANKRD23","Ciliated"
"1201","LOC101928093",4.87070799642628e-07,0.99104796989302,0.143,0.063,0.0446010731232755,"Normal","LOC101928093","Ciliated"
"1202","BMPR1A",4.93708145142223e-07,0.693190953339998,0.431,0.334,0.0452088548506733,"Normal","BMPR1A","Ciliated"
"1203","TRPV4",5.23393147222751e-07,0.603019312176557,0.485,0.394,0.0479271104911873,"Normal","TRPV4","Ciliated"
"1204","LRRFIP2",5.32266490798353e-07,0.546294323731497,0.506,0.408,0.0487396425624052,"Normal","LRRFIP2","Ciliated"
"1205","ZNF273",5.37050318913252e-07,0.625131788331271,0.512,0.431,0.0491776977028864,"Normal","ZNF273","Ciliated"
"2989","EEF1A1",2.89569661731209e-86,1.51325449071613,0.907,0.647,2.65158939247268e-81,"COPD","EEF1A1","Ciliated"
"2990","UBB",1.64311147562157e-80,2.42432340761578,0.732,0.312,1.50459717822667e-75,"COPD","UBB","Ciliated"
"2991","H3F3B",2.16200257635132e-80,3.16607153748673,0.551,0.073,1.9797457591649e-75,"COPD","H3F3B","Ciliated"
"2992","CALM2",2.1845858147889e-80,3.22327191514299,0.549,0.074,2.0004252306022e-75,"COPD","CALM2","Ciliated"
"2993","FTH1",5.0299632296803e-80,2.67083217925834,0.708,0.292,4.60593732941825e-75,"COPD","FTH1","Ciliated"
"2994","H3F3A",2.29841285517063e-78,3.07122934264436,0.544,0.073,2.10465665147975e-73,"COPD","H3F3A","Ciliated"
